[2026-04-10 10:43:31.061] [START] Connected to xAI realtime | input_rate=16000 | output_rate=16000
[2026-04-10 10:43:31.061] [INFO] Output WAV file: audio_out_2026-04-10_10-43-22.wav
[2026-04-10 10:43:31.061] [INFO] Log file: bridge_log_2026-04-10_10-43-22.txt
[2026-04-10 10:43:31.061] [CONFIG] Bridge config | input_rate=16000 | output_rate=16000 | samples_per_packet=160 | packet_audio_size=320
[2026-04-10 10:43:31.062] [START] UDP server started
[2026-04-10 10:43:31.062] [INFO] UDP port: 9999
[2026-04-10 10:43:31.062] [INFO] Jitter buffer: 25 packets (~250 ms)
[2026-04-10 10:43:31.469] [XAI] Session updated
[2026-04-10 10:43:37.498] [INIT] First packet received -> seq=0
[2026-04-10 10:43:38.577] [LOSS] [LOSS] seq 81 lost -> filled with silence
[2026-04-10 10:43:40.668] [STAT] [STAT] seq=301 | buf=0 | rec=300 | lost=1 (0.33%)
[2026-04-10 10:43:55.232] [LOSS] [LOSS] seq 390 lost -> filled with silence
[2026-04-10 10:43:55.234] [LOSS] [LOSS] seq 391 lost -> filled with silence
[2026-04-10 10:43:55.236] [LOSS] [LOSS] seq 392 lost -> filled with silence
[2026-04-10 10:43:55.238] [LOSS] [LOSS] seq 393 lost -> filled with silence
[2026-04-10 10:43:55.240] [LOSS] [LOSS] seq 394 lost -> filled with silence
[2026-04-10 10:43:55.242] [LOSS] [LOSS] seq 395 lost -> filled with silence
[2026-04-10 10:43:55.282] [LOSS] [LOSS] seq 396 lost -> filled with silence
[2026-04-10 10:43:55.344] [LOSS] [LOSS] seq 397 lost -> filled with silence
[2026-04-10 10:43:55.446] [LOSS] [LOSS] seq 398 lost -> filled with silence
[2026-04-10 10:43:55.455] [LOSS] [LOSS] seq 399 lost -> filled with silence
[2026-04-10 10:43:55.538] [LOSS] [LOSS] seq 400 lost -> filled with silence
[2026-04-10 10:43:55.589] [LOSS] [LOSS] seq 401 lost -> filled with silence
[2026-04-10 10:43:55.647] [LOSS] [LOSS] seq 402 lost -> filled with silence
[2026-04-10 10:43:55.704] [LOSS] [LOSS] seq 403 lost -> filled with silence
[2026-04-10 10:43:55.846] [LOSS] [LOSS] seq 404 lost -> filled with silence
[2026-04-10 10:43:55.848] [LOSS] [LOSS] seq 405 lost -> filled with silence
[2026-04-10 10:43:55.881] [LOSS] [LOSS] seq 406 lost -> filled with silence
[2026-04-10 10:43:55.934] [LOSS] [LOSS] seq 407 lost -> filled with silence
[2026-04-10 10:43:56.442] [LOSS] [LOSS] seq 408 lost -> filled with silence
[2026-04-10 10:43:56.445] [LOSS] [LOSS] seq 409 lost -> filled with silence
[2026-04-10 10:43:56.448] [LOSS] [LOSS] seq 410 lost -> filled with silence
[2026-04-10 10:43:56.451] [LOSS] [LOSS] seq 411 lost -> filled with silence
[2026-04-10 10:43:56.453] [LOSS] [LOSS] seq 412 lost -> filled with silence
[2026-04-10 10:43:56.458] [LOSS] [LOSS] seq 413 lost -> filled with silence
[2026-04-10 10:43:56.461] [LOSS] [LOSS] seq 414 lost -> filled with silence
[2026-04-10 10:43:56.463] [LOSS] [LOSS] seq 415 lost -> filled with silence
[2026-04-10 10:43:56.485] [LOSS] [LOSS] seq 416 lost -> filled with silence
[2026-04-10 10:43:56.542] [LOSS] [LOSS] seq 417 lost -> filled with silence
[2026-04-10 10:43:56.599] [LOSS] [LOSS] seq 418 lost -> filled with silence
[2026-04-10 10:43:56.883] [LOSS] [LOSS] seq 419 lost -> filled with silence
[2026-04-10 10:43:56.885] [LOSS] [LOSS] seq 420 lost -> filled with silence
[2026-04-10 10:43:56.887] [LOSS] [LOSS] seq 421 lost -> filled with silence
[2026-04-10 10:43:56.889] [LOSS] [LOSS] seq 422 lost -> filled with silence
[2026-04-10 10:43:56.904] [LOSS] [LOSS] seq 423 lost -> filled with silence
[2026-04-10 10:43:56.958] [LOSS] [LOSS] seq 424 lost -> filled with silence
[2026-04-10 10:43:57.279] [LOSS] [LOSS] seq 425 lost -> filled with silence
[2026-04-10 10:43:57.283] [LOSS] [LOSS] seq 426 lost -> filled with silence
[2026-04-10 10:43:57.285] [LOSS] [LOSS] seq 427 lost -> filled with silence
[2026-04-10 10:43:57.288] [LOSS] [LOSS] seq 428 lost -> filled with silence
[2026-04-10 10:43:57.290] [LOSS] [LOSS] seq 429 lost -> filled with silence
[2026-04-10 10:43:57.328] [LOSS] [LOSS] seq 430 lost -> filled with silence
[2026-04-10 10:43:57.684] [LOSS] [LOSS] seq 431 lost -> filled with silence
[2026-04-10 10:43:57.685] [STAT] [STAT] seq=432 | buf=211 | rec=600 | lost=43 (7.17%)
[2026-04-10 10:43:57.924] [LOSS] [LOSS] seq 432 lost -> filled with silence
[2026-04-10 10:43:57.926] [LOSS] [LOSS] seq 433 lost -> filled with silence
[2026-04-10 10:43:57.928] [LOSS] [LOSS] seq 434 lost -> filled with silence
[2026-04-10 10:43:57.930] [LOSS] [LOSS] seq 435 lost -> filled with silence
[2026-04-10 10:43:57.933] [LOSS] [LOSS] seq 436 lost -> filled with silence
[2026-04-10 10:43:57.935] [LOSS] [LOSS] seq 437 lost -> filled with silence
[2026-04-10 10:43:57.937] [LOSS] [LOSS] seq 438 lost -> filled with silence
[2026-04-10 10:43:57.939] [LOSS] [LOSS] seq 439 lost -> filled with silence
